Time [d]	Ambient temperature in [C]	Gliding (2-day) average of outside temperature  in [C]	Sun elevation angle in [deg]	Sun azimuth angle in [deg]	Declination angle in [deg]	Global Radiation on horizontal surface in [W/m2] (w.r.t. to horizontal unit surface)	Diffuse Radiation on horizontal surface in [W/m2] (w.r.t. to horizontal unit surface)	Direct Radiation on horizontal surface in [W/m2] (w.r.t. to horizontal unit surface)	Room air temperature in [C]	Room radiant temperature in [C]	Operative temperature in [C]	Occupancy schedule based on presence of occupants in [---]. (1 room populated, 0 - empty)	Relative humidity in [%]	Ambient relative humidity in [%]	Absolute humidity in [kg(vapor)/m3(gas)]	Ambient absolute humidity in [kg(vapor)/m3(gas)]	Room air water content [kg(vapor)/kg(dry air)]	
0	0.79	1.32859	-61.9768	0	-23.0861	2	2	0	20	20	20	0	0	0	0	0	0	
0.0416667	-7.07126	0.79	-59.6611	28.1234	-23.0831	6.81757	5.24363	1.57394	20	20	20	0	0	0	0	0	0	
0.0833333	-7.62558	-3.14063	-53.6419	50.8868	-23.0802	6.56537	5.04721	1.51816	20	20	20	0	0	0	0	0	0	
0.125	-7.98802	-4.82039	-45.5213	68.1965	-23.0772	6.32799	4.86599	1.462	20	20	20	0	0	0	0	0	0	
0.166667	-8.34489	-5.79352	-36.4312	82.0003	-23.0742	5.8557	4.50268	1.35302	20	20	20	0	0	0	0	0	0	
0.208333	-8.81798	-6.51791	-27.0337	93.9076	-23.0712	5.72975	4.40519	1.32456	19.9996	19.9996	19.9996	0	0	0	0	0	0	
0.25	-9.26405	-7.21665	-17.7568	104.97	-23.0682	6.11605	4.70604	1.41001	19.9982	19.9981	19.9982	0	0	0	0	0	0	
0.291667	-9.01388	-7.82776	-8.94189	115.889	-23.0651	5.9545	4.5833	1.3712	19.9946	19.9945	19.9945	0	0	0	0	0	0	
0.333333	-8.50809	-7.78839	-0.920793	127.164	-23.0621	5.95463	4.58279	1.37184	19.988	19.9872	19.9876	0	0	0	0	0	0	
0.375	-7.75989	-7.47497	5.94738	139.147	-23.059	26.0019	20.001	6.00091	19.9986	19.9819	19.9903	0	0	0	0	0	0	
0.416667	-6.86478	-6.9049	11.2721	152.025	-23.056	105.774	81.3666	24.4075	19.9978	19.971	19.9844	0	0	0	0	0	0	
0.458333	-6.27657	-6.16889	14.6688	165.75	-23.0529	125.616	96.6267	28.9889	19.9967	19.9567	19.9767	0	0	0	0	0	0	
0.5	-5.88596	-5.68769	15.8409	180.001	-23.0498	106.3	81.7657	24.5339	19.9954	19.9394	19.9674	0	0	0	0	0	0	
0.541667	-5.28933	-5.37242	14.6749	194.254	-23.0467	107.749	82.8842	24.8646	19.9939	19.9194	19.9566	0	0	0	0	0	0	
0.583333	-4.82873	-4.85509	11.2838	207.982	-23.0436	110.118	84.7074	25.411	19.9922	19.8971	19.9447	0	0	0	0	0	0	
0.625	-4.52996	-4.45415	5.96399	220.864	-23.0405	115.781	89.0628	26.7182	19.9904	19.873	19.9317	0	0	0	0	0	0	
0.666667	-4.19179	-4.19746	-0.900015	232.852	-23.0373	62.2317	47.8732	14.3585	19.9885	19.8477	19.9181	0	0	0	0	0	0	
0.708333	-4.07304	-3.89874	-8.91746	244.132	-23.0342	13.8783	10.6759	3.20238	19.9865	19.8217	19.9041	0	0	0	0	0	0	
0.75	-4.02999	-3.80287	-17.7289	255.058	-23.031	5.14191	3.95393	1.18798	19.9845	19.7954	19.89	0	0	0	0	0	0	
0.791667	-3.86271	-3.77631	-27.002	266.128	-23.0278	4.95911	3.81486	1.14425	19.9775	19.7689	19.8732	0	0	0	0	0	0	
0.833333	-3.54385	-3.63007	-36.3947	278.044	-23.0247	4.88601	3.76057	1.12544	19.6434	19.6412	19.6423	0	0	0	0	0	0	
0.875	-2.98592	-3.33748	-45.4782	291.857	-23.0215	4.66598	3.58998	1.076	19.5615	19.5595	19.5605	0	0	0	0	0	0	
0.916667	-2.29964	-2.81429	-53.5894	309.171	-23.0183	4.02023	3.09358	0.926649	19.4822	19.4801	19.4811	0	0	0	0	0	0	
0.958333	-1.13301	-2.16531	-59.5967	331.923	-23.015	3.99559	3.07495	0.920636	19.4023	19.4003	19.4013	0	0	0	0	0	0	
1	0.168128	-1.05288	-61.9025	0	-23.0118	3.96195	3.04796	0.913987	19.3212	19.3191	19.3202	0	0	0	0	0	0	
1.04167	1.40011	-0.414245	-59.5905	28.076	-23.0086	3.93972	3.03335	0.906369	19.2387	19.2366	19.2377	0	0	0	0	0	0	
1.08333	2.53629	-3.47407	-53.5784	50.8201	-23.0053	4.18247	3.21791	0.964558	19.1548	19.1527	19.1538	0	0	0	0	0	0	
1.125	3.29006	-4.72389	-45.4632	68.1286	-23.002	4.268	3.284	0.983999	19.0697	19.0675	19.0686	0	0	0	0	0	0	
1.16667	3.48394	-5.40382	-36.3756	81.937	-22.9988	4.42972	3.40729	1.02243	18.9834	18.9812	18.9823	0	0	0	0	0	0	
1.20833	3.8947	-5.8774	-26.9782	93.8497	-22.9955	4.21745	3.24233	0.975124	18.8962	18.894	18.8951	0	0	0	0	0	0	
1.25	5.04017	-6.31718	-17.6996	104.918	-22.9922	3.87197	2.97598	0.895995	18.8085	18.8063	18.8074	0	0	0	0	0	0	
1.29167	8.19429	-6.66267	-8.88168	115.842	-22.9889	3.26053	2.50782	0.75271	18.7205	18.7183	18.7194	0	0	0	0	0	0	
1.33333	9.77633	-6.47881	-0.85655	127.123	-22.9855	3.00216	2.30912	0.693039	18.6377	18.6307	18.6342	0	0	0	0	0	0	
1.375	9.90404	-6.08087	6.01613	139.113	-22.9822	7.54088	5.79868	1.7422	19.9548	19.0002	19.4775	0	0	0	0	0	0	
1.41667	10.3067	-5.48172	11.3451	151.999	-22.9788	33.905	26.0803	7.82467	19.9583	19.0757	19.517	0	0	0	0	0	0	
1.45833	10.8256	-4.75039	14.7451	165.737	-22.9755	113.378	87.217	26.1612	19.9604	19.1234	19.5419	0	0	0	0	0	0	
1.5	11.188	-4.22315	15.9186	180.001	-22.9721	121.98	93.8301	28.1502	19.9621	19.1598	19.5609	0	0	0	0	0	0	
1.54167	11.2964	-3.83272	14.7517	194.267	-22.9687	98.2227	75.556	22.6667	19.9634	19.1899	19.5766	0	0	0	0	0	0	
1.58333	11.2854	-3.28457	11.3579	208.008	-22.9653	66.9501	51.5023	15.4478	19.9646	19.2159	19.5902	0	0	0	0	0	0	
1.625	10.3538	-2.83979	6.03427	220.899	-22.9619	28.049	21.5777	6.47132	19.9656	19.2391	19.6024	0	0	0	0	0	0	
1.66667	8.74987	-2.52659	-0.833865	232.895	-22.9585	11.2403	8.64838	2.59191	19.9666	19.2603	19.6135	0	0	0	0	0	0	
1.70833	7.04598	-2.19496	-8.85501	244.182	-22.9551	5.03057	3.86799	1.16258	19.9675	19.2802	19.6238	0	0	0	0	0	0	
1.75	6.05996	-2.03417	-17.6691	255.113	-22.9516	3.738	2.874	0.863999	19.9683	19.299	19.6337	0	0	0	0	0	0	
1.79167	5.58056	-1.93423	-26.9436	266.189	-22.9482	3.92397	3.02154	0.90243	19.9639	19.3167	19.6403	0	0	0	0	0	0	
1.83333	5.74014	-1.73988	-36.3357	278.111	-22.9447	3.74473	2.88385	0.860884	19.052	19.0487	19.0503	0	0	0	0	0	0	
1.875	7.78435	-1.41605	-45.4161	291.929	-22.9412	3.40597	2.61998	0.785995	18.9439	18.9415	18.9427	0	0	0	0	0	0	
1.91667	9.5722	-0.898563	-53.5211	309.243	-22.9377	2.93601	2.25693	0.679079	18.8563	18.8542	18.8552	0	0	0	0	0	0	
1.95833	9.05421	-0.294486	-59.5201	331.974	-22.9342	2.92191	2.24431	0.677597	18.7772	18.7752	18.7762	0	0	0	0	0	0	
2	8.64405	0.666085	-61.8214	0	-22.9307	3.00998	2.31399	0.695995	18.7027	18.7008	18.7017	0	0	0	0	0	0	
2.04167	9.67466	1.24595	-59.5134	28.0245	-22.9272	3.16215	2.43366	0.728491	18.6309	18.6291	18.63	0	0	0	0	0	0	
2.08333	10.1033	-1.13885	-53.5091	50.7475	-22.9237	3.23088	2.48816	0.742721	18.5612	18.5594	18.5603	0	0	0	0	0	0	
2.125	9.69794	-2.08531	-45.3997	68.0548	-22.9201	3.39604	2.61203	0.784011	18.4929	18.4911	18.492	0	0	0	0	0	0	
2.16667	8.93235	-2.58385	-36.3149	81.8681	-22.9165	3.43695	2.6412	0.795754	18.4258	18.4241	18.425	0	0	0	0	0	0	
2.20833	8.25322	-2.92639	-26.9178	93.7868	-22.913	3.29512	2.5324	0.762721	18.3599	18.3583	18.3591	0	0	0	0	0	0	
2.25	7.74395	-3.25569	-17.6374	104.86	-22.9094	3.52805	2.71204	0.816013	18.2952	18.2936	18.2944	0	0	0	0	0	0	
2.29167	7.50545	-3.53781	-8.81609	115.79	-22.9058	3.53816	2.72059	0.81757	18.2317	18.23	18.2309	0	0	0	0	0	0	
2.33333	7.33177	-3.4111	-0.786591	127.077	-22.9022	3.42576	2.63576	0.79	18.1768	18.1683	18.1725	0	0	0	0	0	0	
2.375	6.50986	-3.12103	6.09098	139.075	-22.8986	4.04212	3.10809	0.934028	19.951	18.7092	19.3301	0	0	0	0	0	0	
2.41667	4.84196	-2.68725	11.4246	151.972	-22.8949	11.2509	8.65101	2.59991	19.9563	18.8464	19.4013	0	0	0	0	0	0	
2.45833	3.92025	-2.15973	14.8281	165.722	-22.8913	25.0064	19.2323	5.77413	19.9599	18.9417	19.4508	0	0	0	0	0	0	
2.5	3.94203	-1.79832	16.0031	180.001	-22.8876	37.4852	28.8349	8.65025	19.9627	19.0175	19.4901	0	0	0	0	0	0	
2.54167	4.16941	-1.54537	14.8353	194.282	-22.884	26.5998	20.46	6.13985	19.9652	19.0812	19.5232	0	0	0	0	0	0	
2.58333	4.11601	-1.1666	11.4385	208.036	-22.8803	20.3369	15.6439	4.693	19.9672	19.1357	19.5515	0	0	0	0	0	0	
2.625	3.91398	-0.864433	6.11064	220.937	-22.8766	18.8972	14.5394	4.35783	19.969	19.1829	19.576	0	0	0	0	0	0	
2.66667	3.84394	-0.654759	-0.762004	232.941	-22.8729	12.2767	9.44624	2.83048	19.9706	19.2239	19.5972	0	0	0	0	0	0	
2.70833	3.90912	-0.415592	-8.78718	244.235	-22.8692	6.20298	4.77206	1.43092	19.9719	19.2596	19.6157	0	0	0	0	0	0	
2.75	3.972	-0.304367	-17.6043	255.173	-22.8654	3.81803	2.93802	0.880006	19.9731	19.2905	19.6318	0	0	0	0	0	0	
2.79167	4.00425	-0.237547	-26.8802	266.255	-22.8617	3.77058	2.90089	0.869693	19.9608	19.3166	19.6387	0	0	0	0	0	0	
2.83333	4.00272	-0.0965435	-36.2717	278.184	-22.8579	3.61088	2.77816	0.832721	19.0577	19.0545	19.0561	0	0	0	0	0	0	
2.875	4.10402	0.131852	-45.3487	292.007	-22.8542	3.44597	2.64998	0.795995	18.9544	18.9521	18.9533	0	0	0	0	0	0	
2.91667	4.2588	0.50156	-53.4469	309.32	-22.8504	3.72156	2.86276	0.858798	18.8697	18.8676	18.8686	0	0	0	0	0	0	
2.95833	4.20633	0.944423	-59.4371	332.029	-22.8466	3.8636	2.97088	0.892721	18.7915	18.7896	18.7906	0	0	0	0	0	0	
3	4.34004	1.67701	-61.7335	0	-22.8428	3.72799	2.86599	0.861996	18.7163	18.7144	18.7154	0	0	0	0	0	0	
